1;Jk234;Baku;Istanbul;26/06/2025 10:10;26/06/2025 12:10;150.0;100
2;Jk235;Baku;London;27/06/2025 09:00;27/06/2025 13:00;300.0;90
3;Jk236;Baku;Paris;28/06/2025 08:30;28/06/2025 12:00;280.0;85
4;Jk237;Baku;Berlin;29/06/2025 07:00;29/06/2025 10:30;250.0;95
5;Jk238;Baku;Rome;30/06/2025 14:20;30/06/2025 17:00;260.0;92
6;Jk239;Baku;Dubai;01/07/2025 22:00;02/07/2025 02:00;320.0;110
7;Jk240;Baku;Doha;02/07/2025 18:10;02/07/2025 21:30;310.0;100
8;Jk241;Baku;Tbilisi;03/07/2025 06:45;03/07/2025 08:15;120.0;80
9;Jk242;Baku;Moscow;04/07/2025 11:00;04/07/2025 13:45;200.0;88
10;Jk243;Baku;Kyiv;05/07/2025 16:30;05/07/2025 19:00;190.0;96
11;Jk244;Istanbul;Baku;06/07/2025 12:00;06/07/2025 14:00;150.0;98
12;Jk245;London;Baku;07/07/2025 11:00;07/07/2025 17:00;310.0;85
13;Jk246;Paris;Baku;08/07/2025 13:30;08/07/2025 18:00;295.0;88
14;Jk247;Dubai;Baku;09/07/2025 23:00;10/07/2025 03:30;330.0;102
15;Jk248;Tbilisi;Baku;10/07/2025 09:45;10/07/2025 11:15;110.0;70
16;Jk412;Baku;Gabala;29/10/2025 15:00;29/10/2025 15:40;49.99;55
